experiment_id,subject_id,species,tissue,group,time_of_day,body_mass_g,lean_mass_g,fat_mass_g,energy_expenditure_kcal_hr,food_intake_kcal_hr,water_intake_ml_hr,vo2_ml_hr,vco2_ml_hr,rer,locomotor_activity_beam_breaks_hr,pedestrian_locomotion_m_hr,body_temperature_c,distance_in_cage_m_hr,energy_balance_kcal_hr,experiment_start_time,experiment_end_time,experiment_duration_hr,diet_name,diet_kcal_g,age,strain,genetic_background,sex,ambient_temperature_c,quality_score,system,pmid,location,treatment,investigator,total_food_kcal,total_water_ml,total_pedestrian_locomotion_m,total_distance_in_cage_m,wheel_counts,avg_daily_food_intake_kcal_period,avg_daily_water_intake_ml_period,avg_daily_energy_expenditure_kcal_period,avg_daily_energy_balance_kcal_period,avg_daily_pedestrian_locomotion_m_period,avg_daily_distance_in_cage_m_period,litter,bedding,ee_calculation_method,enrichment
churchill_2024,DO-40-2092_Y3,Mouse,Whole Body,Y3_40,Light,23.88723491,NA,NA,0.328253368,0.17358675,0.54322899,67.76784417,55.3167025,0.795264483,101.263883,6.748333339,NA,110.2847162,-0.154666618,12/3/2018,12/9/2018,79.5,LabDiet 5008 3.47kcal/g,3.47,112,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,40,Gary A. Churchill,13.80014665,43.18670471,536.4925005,8767.634937,NA,4.166082,13.03749576,7.878080832,-3.711998832,161.9600001,2646.833189,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-40-2092_Y3,Mouse,Whole Body,Y3_40,Dark,23.88723491,NA,NA,0.521957583,0.286838875,0.459602012,108.7197904,84.87246375,0.772092684,108.2604139,14.51708335,NA,116.8472188,-0.235118708,12/3/2018,12/9/2018,79.5,LabDiet 5008 3.47kcal/g,3.47,112,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,40,Gary A. Churchill,22.8036906,36.53835996,1154.108127,9289.353893,NA,6.884133,11.03044829,12.52698199,-5.642848992,348.4100004,2804.333251,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-40-2092_Y3,Mouse,Whole Body,Y3_40,Full day,23.88723491,NA,NA,0.426800821,0.238938417,0.52713962,88.49882437,70.23938625,0.802138732,110.5021871,11.15072919,NA,121.6393393,-0.187862404,12/3/2018,12/9/2018,159,LabDiet 5008 3.47kcal/g,3.47,112,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,40,Gary A. Churchill,37.99120831,83.81519961,1772.965941,19340.65494,NA,5.734522008,12.65135088,10.2432197,-4.508697696,267.6175006,2919.344143,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-2D-4042_Y3,Mouse,Whole Body,Y3_2D,Light,23.89934424,NA,NA,0.335798785,0.129745721,0.78163365,67.49950625,61.27097395,0.822525333,102.520832,23.83041669,NA,127.1180542,-0.206053064,7/24/2018,7/29/2018,69.5,LabDiet 5008 3.47kcal/g,3.47,111,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,2D,Gary A. Churchill,9.017327621,54.32353869,1656.21396,8834.70477,NA,3.113897304,18.75920761,8.05917084,-4.945273536,571.9300006,3050.833301,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-2D-4042_Y3,Mouse,Whole Body,Y3_2D,Dark,23.89934424,NA,NA,0.366252132,2.211112704,1.164249646,75.8209125,64.28461583,0.893345743,123.1458333,39.87833335,NA,146.7708333,1.844860572,7/24/2018,7/29/2018,69.5,LabDiet 5008 3.47kcal/g,3.47,111,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,2D,Gary A. Churchill,153.6723329,80.91535039,2771.544168,10200.57291,NA,53.0667049,27.9419915,8.790051168,44.27665373,957.0800004,3522.499999,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-2D-4042_Y3,Mouse,Whole Body,Y3_2D,Full day,23.89934424,NA,NA,0.355058941,1.317465998,1.019325273,71.77004896,61.65396385,0.86477151,127.4201292,33.93404374,NA,151.0451293,0.962407057,7/24/2018,7/29/2018,139,LabDiet 5008 3.47kcal/g,3.47,111,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,2D,Gary A. Churchill,183.1277737,141.6862129,4716.832079,20995.27297,NA,31.61918395,24.46380654,8.521414584,23.09776937,814.4170498,3625.083103,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-20-1036_Y1,Mouse,Whole Body,Y1_20,Light,23.90700377,NA,NA,0.415234507,1.424218127,0.414237492,85.91487917,70.4369075,0.824043299,82.13888905,16.5950441,NA,114.0902049,1.00898362,8/17/2016,8/23/2016,79.5,LabDiet 5008 3.47kcal/g,3.47,11,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,20,Gary A. Churchill,113.2253411,32.93188064,1319.306006,9070.171293,NA,34.18123505,9.941699816,9.965628168,24.21560688,398.2810584,2738.164918,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-20-1036_Y1,Mouse,Whole Body,Y1_20,Dark,23.90700377,NA,NA,0.498319021,3.23265943,0.929592052,101.4458917,92.65400937,0.893760215,90.68055576,19.11434506,NA,133.847129,2.73434041,8/17/2016,8/23/2016,79.5,LabDiet 5008 3.47kcal/g,3.47,11,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,20,Gary A. Churchill,256.9964247,73.90256817,1519.590433,10640.84676,NA,77.58382632,22.31020926,11.9596565,65.62416984,458.7442814,3212.331096,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-20-1036_Y1,Mouse,Whole Body,Y1_20,Full day,23.90700377,NA,NA,0.453956236,2.204630456,0.67797694,93.44666052,81.29404479,0.853627686,84.54687521,17.19790973,NA,119.7152162,1.75067422,8/17/2016,8/23/2016,159,LabDiet 5008 3.47kcal/g,3.47,11,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,20,Gary A. Churchill,350.5362425,107.7983335,2734.467646,19034.71938,NA,52.91113094,16.27144657,10.89494966,42.01618128,412.7498335,2873.165189,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-1D-3053_Y1,Mouse,Whole Body,Y1_1D,Light,23.9072925,NA,NA,0.361932201,1.574805392,0.310199772,76.10976083,58.76671333,0.7969505,52.55187919,14.17125002,NA,64.18382365,1.212873191,10/5/2016,10/11/2016,80,LabDiet 5008 3.47kcal/g,3.47,15,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,1D,Gary A. Churchill,125.9844314,24.81598174,1133.700001,5134.705892,NA,37.79532941,7.444794522,8.686372824,29.10895658,340.1100005,1540.411768,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
