"","experiment_id","subject.id","species","tissue","Group","Time.of.day","Total.Mass","Lean.Mass","Fat.Mass","Energy.Expenditure..kcal.hr.","Food.Intake..kcal.hr.","Oxygen.Consumption..ml.hr.","Carbon.Dioxide.Production..ml.hr.","Respiratory.Exchange.Ratio","Locomotor.Activity..beam.breaks.hr.","Pedestrian.Locomotion..m.hr.","Body.Temperature..C.","Distance.in.Cage..m.hr.","Water.Intake..kcal.hr.","Energy.Balance..kcal.hr.","exp_time_start","exp_time_end","duration_hr","diet_names","dietCal","age","strain","genetic_background","sex","temperature","quality_score","system","pmid","location","treatment","investigator","Subject.ID","Total.Food..kcal.","Total.Drink..ml.","Pedestrian.Locomotion..m.","Distance.in.Cage.Locomotion..m.","litter","bedding","ee_calc","enrich"
"11","CalR000171","1_4","Mouse","Whole Body","AdCreERT2/+","Light",26.5,21.09,4.36,0.038298659849537,0.382266866666667,94.1626508678571,75.715042575,0.787008133571429,97.1642857142857,8.6394,-1,13.4752472222222,0.0984905555555556,0.34396820681713,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_4",13.7616072,3.54566,218.6335,326.1721,8,"Corncob","Weir","Igloo (Plastic)"
"12","CalR000171","1_5","Mouse","Whole Body","AdCreERT2/+","Light",27.8,22.24,4.34,0.0431072734837963,0.7649461,105.437444892857,93.7655985107143,0.884539229285714,93.4928571428571,7.76597777777778,-1,12.9238222222222,0.147139444444444,0.721838826516204,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_5",27.5380596,5.29702,187.1568,308.7506,8,"Corncob","Weir","Igloo (Plastic)"
"13","CalR000171","1_7","Mouse","Whole Body","+/+","Light",25.4,19.37,4.06,0.0413362689699074,0.437244144444446,99.0621020357143,82.9837930714286,0.831819734464286,81.7696428571429,9.52995833333333,-1,13.4130277777778,0.0773952777777778,0.395907875474539,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_7",15.7407892000001,2.78623,227.661,315.7791,8,"Corncob","Weir","Igloo (Plastic)"
"14","CalR000171","1_8","Mouse","Whole Body","AdCreERT2/+","Light",24.8,19.28,4.57,0.0389607072337963,0.268763188888889,96.1450599642857,80.5443201535714,0.833836343928571,71.5125,10.7572194444444,-1,14.4156138888889,0.0891608333333334,0.229802481655093,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_8",9.67547480000001,3.20979,263.4455,345.3178,8,"Corncob","Weir","Igloo (Plastic)"
"15","CalR000171","2_25","Mouse","Whole Body","+/+","Light",25.7,19.99,4.35,0.04164065,0.34443,102.742134444444,81.8008934111111,0.791636481666667,41.4018518518519,8.79458611111111,-1,12.1293138888889,0.0619363888888889,0.30278935,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","2_25",13.0998388,2.116162,216.1088,290.1227,8,"Corncob","Weir","Igloo (Plastic)"
"16","CalR000171","2_26","Mouse","Whole Body","AdCreERT2/+","Light",25,19.63,4.61,0.0407521830092593,0.255944222222222,101.352053866667,81.1125118888889,0.795446382962963,50.6796296296296,10.19945,-1,13.3084,0.075183888888889,0.215192039212963,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","2_26",8.91591320000001,3.27809,254.6638,328.4781,8,"Corncob","Weir","Igloo (Plastic)"
"17","CalR000171","2_27","Mouse","Whole Body","AdCreERT2/+","Light",27.3,18.9,3.45,0.0393475426273148,0.634057755555556,100.008906677778,84.7647027555556,0.845244868888889,63.9777777777778,9.54589166666667,-1,14.6852222222222,0.0703997222222223,0.594710212928241,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","2_27",25.2566692,2.18583,222.3308,333.0371,8,"Corncob","Weir","Igloo (Plastic)"
"18","CalR000171","2_28","Mouse","Whole Body","+/+","Light",21.4,17.19,3.63,0.0371112780439815,0.270714266666666,94.2761950777778,74.1555079333333,0.782085471851852,31.9981481481482,5.66475,-1,8.18357222222223,0.0399814444444445,0.233602988622685,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","2_28",8.50701159999998,1.439332,138.0029,191.8829,8,"Corncob","Weir","Igloo (Plastic)"
"19","CalR000171","2_29","Mouse","Whole Body","+/+","Light",26.2,20.57,4.16,0.0449398590162037,0.289647533333333,111.454666777778,90.962051,0.811296085740741,67.2592592592593,9.14860277777778,-1,13.7055916666667,0.0460327777777779,0.244707674317129,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","2_29",9.65436399999999,1.61181,212.4007,311.5504,8,"Corncob","Weir","Igloo (Plastic)"
"20","CalR000171","2_30","Mouse","Whole Body","AdCreERT2/+","Light",25.5,20.1,4.66,0.0462915055555556,0.231689744444445,116.957228777778,89.9251657888889,0.767759899444444,84.262962962963,13.9183611111111,-1,19.3738472222222,0.0757238888888889,0.185398238888889,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","2_30",6.96271920000001,2.39952,334.9774,458.0284,8,"Corncob","Weir","Igloo (Plastic)"
