"","subject.id","subject.mass","cage","Date.Time","vo2","vco2","ee","ee.acc","rer","feed","feed.acc","drink","drink.acc","xytot","xyamb","wheel","wheel.acc","pedmeter","allmeter","body.temp","C13","minute","hour","day","exp.minute","exp.hour","exp.day","enviro.light","enviro.temp","enviro.sound"
"1","1_1",36.64359,"1",2025-04-07 13:01:30,139.9005,113.21238,0.6765608,0,0.8083418,0.0007331001,0,0,0,405,NA,NA,NA,0,0,-1,-1,2025-04-07 13:01:00,2025-04-07 13:00:00,"2025-04-08",0,0,0,48.21111,23.58498,3691.252
"2","1_1",36.64359,"1",2025-04-07 13:04:30,127.05594,103.6986,0.615418,0.615418,0.8163837,0.0052463109,0.0052463109,0,0,360,NA,NA,NA,1.2836123,1.715937,-1,-1,2025-04-07 13:04:00,2025-04-07 13:00:00,"2025-04-08",3,0,0,48.5,23.38805,1095.638
"3","1_1",36.64359,"1",2025-04-07 13:07:30,124.5408,101.32602,0.6028817,1.2182997,0.8146203,2.03400000000058e-06,0.0052483449,0,0,450,NA,NA,NA,1.9603443,2.905396,-1,-1,2025-04-07 13:07:00,2025-04-07 13:00:00,"2025-04-08",6,0,0,48.61111,23.3874,868.032
"4","1_1",36.64359,"1",2025-04-07 13:10:30,133.04454,106.60728,0.6422361,1.8605358,0.8022907,0,0.0052483449,0,0,316,NA,NA,NA,2.8720133,4.308774,-1,-1,2025-04-07 13:10:00,2025-04-07 13:00:00,"2025-04-08",9,0,0,49,23.46704,2726.924
"5","1_1",36.64359,"1",2025-04-07 13:13:30,124.56822,100.0374,0.6015646,2.4621004,0.8038682,0,0.0052483449,0,0,99,NA,NA,NA,3.1008403,4.730304,-1,-1,2025-04-07 13:13:00,2025-04-07 13:00:00,"2025-04-08",12,0,0,48.97778,23.52819,848.9321
"6","1_1",36.64359,"1",2025-04-07 13:16:30,118.36752,95.79144,0.5724317,3.0345321,0.8091769,0,0.0052483449,0,0,200,NA,NA,NA,3.1085603,4.831349,-1,-1,2025-04-07 13:16:00,2025-04-07 13:00:00,"2025-04-08",15,0,0,49,23.50132,3726.745
"7","1_1",36.64359,"1",2025-04-07 13:19:30,128.62926,104.32842,0.6223152,3.6568473,0.8108846,0,0.0052483449,0,0,235,NA,NA,NA,3.1085603,4.963028,-1,-1,2025-04-07 13:19:00,2025-04-07 13:00:00,"2025-04-08",18,0,0,49,23.39368,820.0974
"8","1_1",36.64359,"1",2025-04-07 13:22:30,133.49862,108.32604,0.6459267,4.302774,0.8113992,0,0.0052483449,0,0,141,NA,NA,NA,3.1085603,5.094052,-1,-1,2025-04-07 13:22:00,2025-04-07 13:00:00,"2025-04-08",21,0,0,49,23.445,866.1551
"9","1_1",36.64359,"1",2025-04-07 13:25:30,130.91214,106.104,0.6332757,4.9360497,0.8105065,0,0.0052483449,0,0,170,NA,NA,NA,3.1085603,5.221177,-1,-1,2025-04-07 13:25:00,2025-04-07 13:00:00,"2025-04-08",24,0,0,48.96667,23.549,1188.93
"10","1_1",36.64359,"1",2025-04-07 13:28:30,125.58912,101.43486,0.6071336,5.5431833,0.8078203,0,0.0052483449,0,0,177,NA,NA,NA,3.1085603,5.325639,-1,-1,2025-04-07 13:28:00,2025-04-07 13:00:00,"2025-04-08",27,0,0,48.84444,23.4588,3452.392
"11","1_1",36.64359,"1",2025-04-07 13:31:30,118.56948,94.6095,0.5719205,6.1151038,0.7975856,0,0.0052483449,0,0,22,NA,NA,NA,3.1085603,5.37487,-1,-1,2025-04-07 13:31:00,2025-04-07 13:00:00,"2025-04-08",30,0,0,48.98889,23.36766,881.9616
