"","subject.id","subject.mass","cage","Date.Time","vo2","vco2","ee","ee.acc","rer","feed","feed.acc","drink","drink.acc","xytot","xyamb","wheel","wheel.acc","pedmeter","allmeter","body.temp","C13","minute","hour","day","exp.minute","exp.hour","exp.day","enviro.light","enviro.temp","enviro.sound"
"1","1",30.83327,"1",2025-06-09 16:11:20,111.79398,81.91056,0.5311731,0.5311731,0.7321965,0,0,0,0,343,NA,NA,NA,0.6184977,0.7524095,-1,-1,2025-06-09 16:11:00,2025-06-09 16:00:00,2025-06-09,0,0,0,31.57778,23.23447,2616.952
"2","1",30.83327,"1",2025-06-09 16:14:20,119.72124,89.79786,0.5711378,1.1023109,0.7494473,0.008922663,0.008922663,0,0,408,NA,NA,NA,2.615506,3.085236,-1,-1,2025-06-09 16:14:00,2025-06-09 16:00:00,2025-06-09,3,0,0,31.1,23.32869,2158.108
"3","1",30.83327,"1",2025-06-09 16:17:20,118.16688,89.58318,0.5647748,1.6670857,0.7581908,0.004688177,0.01361084,0,0,411,NA,NA,NA,4.589537,5.390961,-1,-1,2025-06-09 16:17:00,2025-06-09 16:00:00,2025-06-09,6,0,0,33,23.45888,3969.418
"4","1",30.83327,"1",2025-06-09 16:20:20,105.88314,79.91448,0.5056708,2.1727565,0.7546873,0.00054593,0.01415677,0,0,394,NA,NA,NA,6.690035,7.863235,-1,-1,2025-06-09 16:20:00,2025-06-09 16:00:00,2025-06-09,9,0,0,32.4,23.2637,3564.701
"5","1",30.83327,"1",2025-06-09 16:23:20,100.99416,75.66324,0.4817016,2.6544581,0.7492152,0.00558208,0.01973885,0,0,329,NA,NA,NA,8.068965,9.657845,-1,-1,2025-06-09 16:23:00,2025-06-09 16:00:00,2025-06-09,12,0,0,31.97778,23.272,2334.234
"6","1",30.83327,"1",2025-06-09 16:26:20,100.66278,75.98952,0.4807563,3.1352144,0.754642,0.00263053,0.02236938,0,0,216,NA,NA,NA,8.86564,10.80321,-1,-1,2025-06-09 16:26:00,2025-06-09 16:00:00,2025-06-09,15,0,0,33,23.38242,2195.717
"7","1",30.83327,"1",2025-06-09 16:29:20,103.45608,80.68104,0.4969535,3.6321679,0.7794919,0,0.02236938,0,0,283,NA,NA,NA,9.171019,11.41239,-1,-1,2025-06-09 16:29:00,2025-06-09 16:00:00,2025-06-09,18,0,0,33,23.41967,4901.553
"8","1",30.83327,"1",2025-06-09 16:32:20,111.8142,88.07034,0.5380656,4.1702335,0.7882937,0,0.02236938,0.002517193,0.002517193,417,NA,NA,NA,10.32693,12.9391,-1,-1,2025-06-09 16:32:00,2025-06-09 16:00:00,2025-06-09,21,0,0,33,23.2248,2274.191
"9","1",30.83327,"1",2025-06-09 16:35:20,121.85544,95.08794,0.5853994,4.7556329,0.7806729,0,0.02236938,0.001968893,0.004486086,351,NA,NA,NA,11.51312,14.48719,-1,-1,2025-06-09 16:35:00,2025-06-09 16:00:00,2025-06-09,24,0,0,33,23.30956,2556.276
"10","1",30.83327,"1",2025-06-09 16:38:20,120.18822,92.907,0.5764169,5.3320498,0.7729622,0,0.02236938,0.003563944,0.00805003,382,NA,NA,NA,12.902,16.21081,-1,-1,2025-06-09 16:38:00,2025-06-09 16:00:00,2025-06-09,27,0,0,33,23.43374,2555.443
